"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"timofey mozgov",2011,2018,"C","7-1",275,"July 16, 1986",""
"chuck mrazovich",1951,1951,"F","6-5",185,"February 26, 1924","Eastern Kentucky University"
"emmanuel mudiay",2016,2018,"G","6-5",200,"March 5, 1996",""
"erwin mueller",1967,1974,"C-F","6-8",230,"March 12, 1944","University of San Francisco"
"shabazz muhammad",2014,2018,"F-G","6-6",223,"November 13, 1992","University of California, Los Angeles"
"joe mullaney",1950,1950,"G","6-0",165,"November 17, 1924","College of the Holy Cross"
"bob mullens",1947,1947,"G","6-1",175,"November 1, 1922","Fordham University"
"byron mullens",2010,2014,"C","7-0",275,"February 14, 1989","Ohio State University"
"chris mullin",1986,2001,"F-G","6-6",200,"July 30, 1963","St. John's University"
"jeff mullins",1965,1976,"G-F","6-4",190,"March 18, 1942","Duke University"
"todd mundt",1996,1996,"C","7-0",250,"May 17, 1970","University of Memphis, Delta State University"
"xavier munford",2016,2018,"G","6-2",180,"June 1, 1992","University of Rhode Island"
"chris munk",1991,1991,"F","6-9",225,"August 5, 1967","University of Southern California"
"george munroe",1947,1948,"G","5-11",170,"January 5, 1922","Dartmouth College"
"eric murdock",1992,2000,"G","6-1",190,"June 14, 1968","Providence College"
"gheorghe muresan",1994,2000,"C","7-7",303,"February 14, 1971",""
"allen murphy",1976,1977,"G","6-5",190,"July 15, 1952","University of Louisville"
"calvin murphy",1971,1983,"G","5-9",165,"May 9, 1948","Niagara University"
"dick murphy",1947,1947,"G","6-1",175,"March 10, 1921","Manhattan College"
"erik murphy",2014,2014,"F","6-10",230,"October 26, 1990","University of Florida"
"jay murphy",1985,1988,"F","6-9",220,"June 26, 1962","Boston College"
"john murphy",1947,1947,"F","6-2",175,"September 13, 1924",""
"kevin murphy",2013,2013,"G","6-5",185,"March 6, 1990","Tennessee Technological University"
"ronnie murphy",1988,1988,"F","6-5",225,"July 29, 1964","Jacksonville University"
"tod murphy",1988,1994,"C-F","6-9",220,"December 24, 1963","University of California, Irvine"
"troy murphy",2002,2013,"F-C","6-11",245,"May 2, 1980","University of Notre Dame"
"dejounte murray",2017,2018,"G","6-5",170,"September 19, 1996","University of Washington"
"jamal murray",2017,2018,"G","6-4",207,"February 23, 1997","University of Kentucky"
"ken murray",1951,1955,"G-F","6-2",190,"April 20, 1928","St. Bonaventure University"
"lamond murray",1995,2006,"F","6-7",236,"April 20, 1973","University of California"
"ronald murray",2003,2010,"G","6-4",190,"July 29, 1979","Meridian Community College, Shaw University"
"tracy murray",1993,2004,"F","6-7",225,"July 25, 1971","University of California, Los Angeles"
"willie murrell",1968,1970,"F","6-6",225,"September 13, 1941","Kansas State University"
"dorie murrey",1967,1972,"F-C","6-8",215,"September 7, 1943","University of Detroit Mercy"
"toure murry",2014,2015,"G-F","6-5",195,"November 8, 1989","Wichita State University"
"mike muscala",2014,2018,"F-C","6-11",240,"July 1, 1991","Bucknell University"
"angelo musi",1947,1949,"G","5-9",145,"July 25, 1918","Temple University"
"jerrod mustaf",1991,1994,"F-C","6-10",238,"October 28, 1969","University of Maryland"
"dikembe mutombo",1992,2009,"C","7-2",245,"June 25, 1966","Georgetown University"
"martin muursepp",1997,1998,"F","6-9",235,"September 26, 1974",""
"pete myers",1987,1998,"G-F","6-6",180,"September 15, 1963","University of Arkansas at Little Rock"
"hamady ndiaye",2011,2014,"C","7-0",235,"January 12, 1987","Rutgers University"
"makhtar ndiaye",1999,1999,"F","6-8",245,"December 12, 1973","University of Michigan, University of North Carolina"
"mamadou ndiaye",2001,2005,"C","7-0",255,"June 16, 1975","Auburn University"
"boniface ndong",2006,2006,"C","7-0",198,"March 9, 1977",""
"bob naber",1953,1953,"F","6-3",185,"September 3, 1929","University of Louisville"
"boris nachamkin",1955,1955,"F","6-6",210,"December 6, 1933","New York University"
"bostjan nachbar",2003,2008,"F","6-9",221,"July 3, 1980",""
"abdel nader",2018,2018,"F","6-6",230,"September 25, 1993","Northern Illinois University, Iowa State University"
"jerry nagel",1950,1950,"G","6-0",190,"May 18, 1928","Loyola University of Chicago"
"fritz nagy",1949,1949,"G-F","6-2",185,"January 3, 1924","University of Akron"
"lee nailon",2001,2006,"F","6-9",238,"February 22, 1975","Butler County Community College, Texas Christian University"
"eduardo najera",2001,2012,"F","6-8",240,"July 11, 1976","University of Oklahoma"
"larry nance",1982,1994,"F-C","6-10",205,"February 12, 1959","Clemson University"
"larry nance",2016,2018,"F-C","6-9",230,"January 1, 1993","University of Wyoming"
"shabazz napier",2015,2018,"G","6-1",175,"July 14, 1991","University of Connecticut"
"paul napolitano",1949,1949,"F-G","6-2",185,"February 3, 1923","University of San Francisco"
"bob nash",1973,1979,"F","6-8",195,"August 24, 1950","University of Hawaii"
"cotton nash",1965,1968,"F","6-5",215,"July 24, 1942","University of Kentucky"
"steve nash",1997,2014,"G","6-3",195,"February 7, 1974","Santa Clara University"
"swen nater",1974,1984,"C","6-11",240,"January 14, 1950","University of California, Los Angeles"
"howard nathan",1996,1996,"G","5-11",175,"January 21, 1972","DePaul University, University of Louisiana at Monroe"
"calvin natt",1980,1990,"F","6-6",220,"January 8, 1957","University of Louisiana at Monroe"
"kenny natt",1981,1985,"G","6-3",185,"October 5, 1958","University of Louisiana at Monroe"
"willie naulls",1957,1966,"F-C","6-6",225,"October 7, 1934","University of California, Los Angeles"
"juan carlos navarro",2008,2008,"G","6-3",170,"June 13, 1980",""
"maurice ndour",2017,2017,"F","6-9",200,"June 18, 1992","Ohio University"
"craig neal",1989,1991,"G","6-5",165,"February 16, 1964","Georgia Institute of Technology"
"gary neal",2011,2017,"G","6-4",210,"October 3, 1984","La Salle University, Towson University"
"jim neal",1954,1955,"C","6-11",235,"May 21, 1930","Wofford College"
"lloyd neal",1973,1979,"C-F","6-7",225,"December 10, 1950","Tennessee State University"
"ed nealy",1983,1993,"F","6-7",238,"February 19, 1960","Kansas State University"
"nemanja nedovic",2014,2014,"G","6-3",192,"June 16, 1991",""
"al negratti",1947,1947,"F-C","6-3",200,"June 12, 1921","Seton Hall University"
"barry nelson",1972,1972,"C","6-10",230,"September 19, 1949","Duquesne University"
"demarcus nelson",2009,2009,"G","6-4",200,"November 2, 1985","Duke University"
"don nelson",1963,1976,"F","6-6",210,"May 15, 1940","University of Iowa"
"jameer nelson",2005,2018,"G","6-0",190,"February 9, 1982","Saint Joseph's University"
"louie nelson",1974,1978,"G","6-3",190,"May 28, 1951","University of Washington"
"ron nelson",1971,1971,"G","6-2",175,"October 7, 1946","University of New Mexico"
"ruben nembhard",1997,1997,"G","6-3",208,"February 20, 1972","Weber State University"
"dick nemelka",1971,1971,"G","6-0",175,"October 1, 1943","Brigham Young University"
"tyrone nesby",1999,2002,"F","6-6",225,"January 31, 1976","University of Nevada, Las Vegas"
"martin nessley",1988,1988,"C","7-2",260,"February 16, 1965","Duke University"
"rasho nesterovic",1999,2010,"C","7-0",248,"May 30, 1976",""
"raul neto",2016,2018,"G","6-1",179,"May 19, 1992",""
"bob netolicky",1968,1976,"F-C","6-9",220,"August 2, 1942","Drake University"
"johnny neumann",1972,1978,"G-F","6-6",200,"September 11, 1951","University of Mississippi"
"paul neumann",1962,1967,"G","6-1",175,"January 30, 1938","Stanford University"
"chuck nevitt",1983,1994,"C","7-5",217,"June 13, 1959","North Carolina State University"
"melvin newbern",1993,1993,"G","6-4",200,"June 11, 1967","University of Minnesota"
"ivano newbill",1995,1998,"F","6-9",245,"December 12, 1970","Georgia Institute of Technology"
"ira newble",2001,2008,"F","6-7",220,"January 20, 1975","Miami University"
"mike newlin",1972,1982,"G-F","6-4",200,"January 2, 1949","University of Utah"
"johnny newman",1987,2002,"F-G","6-7",190,"November 28, 1963","University of Richmond"
"dave newmark",1969,1971,"C","7-0",240,"September 11, 1946","Columbia University"
"bill newton",1973,1974,"C","6-9",220,"December 22, 1950","Louisiana State University"
"georges niang",2017,2018,"F","6-8",230,"June 17, 1993","Iowa State University"
"demetris nichols",2008,2009,"F","6-8",216,"September 4, 1984","Syracuse University"
"jack nichols",1949,1958,"C-F","6-7",222,"April 9, 1926","University of Washington"
"andrew nicholson",2013,2017,"F","6-9",250,"December 8, 1989","St. Bonaventure University"
"gaylon nickerson",1997,1997,"G","6-3",190,"February 5, 1969","Wichita State University, Butler County Community College, Kansas State University, Northwestern Oklahoma State University"
"carl nicks",1981,1983,"G","6-1",175,"October 6, 1958","Indiana State University"
"rich niemann",1969,1972,"C","7-0",245,"July 2, 1946","Saint Louis University"
"richie niemiera",1949,1950,"G-F","6-1",165,"May 26, 1921","University of Notre Dame"
"mike niles",1981,1981,"F","6-6",225,"March 31, 1955","California State University, Fullerton"
"kurt nimphius",1982,1990,"C-F","6-10",218,"March 13, 1958","Arizona State University"
"dyron nix",1990,1990,"F","6-7",210,"February 11, 1967","University of Tennessee"
"norm nixon",1978,1989,"G","6-2",170,"October 11, 1955","Duquesne University"
"joakim noah",2008,2018,"C","6-11",230,"February 25, 1985","University of Florida"
"chuck noble",1956,1962,"G","6-4",190,"July 24, 1931","University of Louisville"
"andres nocioni",2005,2012,"F","6-7",225,"November 30, 1979",""
"david noel",2007,2007,"F","6-6",230,"February 27, 1984","University of North Carolina"
"nerlens noel",2015,2018,"C-F","6-11",228,"April 10, 1994","University of Kentucky"
"paul noel",1948,1952,"F","6-4",185,"August 17, 1924","University of Kentucky"
"lucas nogueira",2015,2018,"C","7-0",241,"July 26, 1992",""
"jim nolan",1950,1950,"C","6-8",210,"June 9, 1927","Georgia Institute of Technology"
"paul nolen",1954,1954,"C","6-10",NA,"September 3, 1929","Texas Tech University"
"jeff nordgaard",1998,1998,"F","6-7",225,"February 23, 1973","University of Wisconsin-Green Bay"
"bevo nordmann",1962,1965,"C","6-10",225,"December 11, 1939","Saint Louis University"
"johnny norlander",1947,1951,"F","6-3",180,"March 5, 1921","Hamline University"
"connie norman",1975,1979,"G","6-3",175,"September 24, 1953","University of Arizona"
"ken norman",1988,1997,"F","6-8",215,"September 5, 1964","University of Illinois at Urbana-Champaign"
"audie norris",1983,1985,"C","6-9",230,"December 18, 1960","Jackson State University"
"moochie norris",1997,2006,"G","6-1",175,"July 27, 1973","Auburn University, University of West Florida"
"sylvester norris",1980,1980,"C","6-11",220,"February 18, 1957","Jackson State University"
"willie norwood",1972,1978,"F","6-7",220,"August 8, 1947","Alcorn State University"
"george nostrand",1947,1950,"C-F","6-8",195,"January 25, 1924","University of Wyoming"
"stan noszka",1947,1949,"G","6-1",185,"September 9, 1920","Duquesne University"
"mike novak",1949,1954,"C-F","6-9",219,"April 23, 1915","Loyola University of Chicago"
"steve novak",2007,2017,"F","6-10",225,"June 13, 1983","Marquette University"
"mel nowell",1963,1968,"G","6-2",170,"December 27, 1939","Ohio State University"
"dirk nowitzki",1999,2018,"F","7-0",245,"June 19, 1978",""
"frank ntilikina",2018,2018,"G","6-5",190,"July 28, 1998",""
"james nunnally",2014,2014,"F","6-7",205,"July 14, 1990","University of California, Santa Barbara"
"jusuf nurkic",2015,2018,"C","7-0",280,"August 23, 1994",""
"dennis nutt",1987,1987,"G","6-2",170,"March 25, 1963","Texas Christian University"
"david nwaba",2017,2018,"G","6-4",209,"January 14, 1993","California Polytechnic State University, San Luis Obispo"
"julius nwosu",1995,1995,"C","6-10",255,"May 1, 1971","Liberty University"
"charles obannon",1998,1999,"G-F","6-5",209,"February 22, 1975","University of California, Los Angeles"
"ed obannon",1996,1997,"F","6-8",222,"August 14, 1972","University of California, Los Angeles"
"john oboyle",1953,1953,"G","6-2",185,"March 7, 1928","Colorado State University"
"bob obrien",1948,1949,"F","6-4",190,"January 26, 1927","Pepperdine University"
"jj obrien",2016,2016,"F","6-7",228,"April 8, 1992","San Diego State University"
"jim obrien",1974,1975,"F","6-7",200,"November 7, 1951","University of Maryland"
"jimmy obrien",1972,1975,"G","6-1",170,"April 9, 1950","Boston College"
"ralph obrien",1952,1953,"G","5-9",160,"April 8, 1928","Butler University"
"johnny obryant",2015,2018,"F-C","6-9",257,"June 1, 1993","Louisiana State University"
"patrick obryant",2007,2010,"C","7-0",260,"June 20, 1986","Bradley University"
"dermie oconnell",1949,1950,"G","6-0",174,"April 13, 1928","College of the Holy Cross"
"andy odonnell",1950,1950,"G","6-1",180,"March 10, 1925","Loyola College in Maryland"
"buddy ogrady",1947,1949,"G","5-11",160,"January 19, 1920","Georgetown University"
"fran ohanlon",1971,1971,"G","6-1",175,"August 24, 1948","Villanova University"
"dick okeefe",1948,1951,"G-F","6-2",185,"September 29, 1923","Santa Clara University"
"tommy okeefe",1951,1951,"G","6-2",185,"June 3, 1928","Georgetown University"
"mike okoren",1981,1988,"F-G","6-7",207,"February 7, 1958","University of North Carolina"
"grady omalley",1970,1970,"F","6-5",205,"April 25, 1948","Manhattan College"
"jermaine oneal",1997,2014,"F-C","6-11",226,"October 13, 1978",""
"shaquille oneal",1993,2011,"C","7-1",325,"March 6, 1972","Louisiana State University"
"royce oneale",2018,2018,"F","6-6",215,"June 5, 1993","Baylor University"
"mike oneill",1953,1953,"F","6-3",210,"","University of California"
"kyle oquinn",2013,2018,"F-C","6-10",250,"March 26, 1990","Norfolk State University"
"kevin oshea",1951,1953,"G","6-2",175,"July 10, 1925","University of Notre Dame"
"garland oshields",1947,1947,"G-F","6-1",195,"May 23, 1921","University of Tennessee"
"dan osullivan",1991,1996,"C","6-10",250,"March 3, 1968","Fordham University"
"charles oakley",1986,2004,"F-C","6-8",225,"December 18, 1963","Virginia Union University"
"fabricio oberto",2006,2011,"C-F","6-10",245,"March 21, 1975",""
"daniel ochefu",2017,2017,"C","6-11",245,"December 15, 1993","Villanova University"
"greg oden",2009,2014,"C","7-0",250,"January 22, 1988","Ohio State University"
"lamar odom",2000,2013,"F","6-10",220,"November 6, 1979","University of Rhode Island"
"bud ogden",1970,1971,"F","6-6",215,"December 29, 1946","Santa Clara University"
"ralph ogden",1971,1971,"F","6-5",205,"January 25, 1948","Santa Clara University"
"alan ogg",1991,1993,"C","7-2",240,"July 5, 1967","University of Alabama at Birmingham"
"don ohl",1961,1970,"G","6-3",190,"April 18, 1936","University of Illinois at Urbana-Champaign"
"tim ohlbrecht",2013,2013,"C","6-11",255,"August 30, 1988",""
"semi ojeleye",2018,2018,"F","6-7",241,"December 5, 1994","Southern Methodist University"
"emeka okafor",2005,2018,"C-F","6-10",252,"September 28, 1982","University of Connecticut"
"jahlil okafor",2016,2018,"C-F","6-11",275,"December 15, 1995","Duke University"
"mehmet okur",2003,2012,"C-F","6-11",249,"May 26, 1979",""
"victor oladipo",2014,2018,"G","6-4",210,"May 4, 1992","Indiana University"
"hakeem olajuwon",1985,2002,"C","7-0",255,"January 21, 1963","University of Houston"
"mark olberding",1976,1987,"F","6-8",225,"April 21, 1956","University of Minnesota"
"jawann oldham",1981,1991,"C","7-0",215,"July 4, 1957","Seattle University"
"john oldham",1950,1951,"G","6-3",175,"June 22, 1923","Western Kentucky University"
"frank oleynick",1976,1977,"G","6-2",185,"February 20, 1955","Seattle University"
"john olive",1979,1980,"F","6-7",210,"March 1, 1955","Villanova University"
"brian oliver",1991,1998,"G","6-4",210,"June 1, 1968","Georgia Institute of Technology"
"dean oliver",2002,2003,"G","5-11",180,"November 5, 1978","University of Iowa"
"jimmy oliver",1992,1999,"G-F","6-5",205,"July 12, 1969","Purdue University"
"kevin ollie",1998,2010,"G","6-4",195,"December 27, 1972","University of Connecticut"
"gene ollrich",1950,1950,"G","5-11",160,"June 30, 1922","Drake University"
"michael olowokandi",1999,2007,"C","7-0",269,"April 3, 1975","University of the Pacific"
"bud olsen",1963,1970,"F-C","6-8",220,"July 25, 1940","University of Louisville"
"kelly olynyk",2014,2018,"C-F","7-0",238,"April 19, 1991","Gonzaga University"
